Date : 2023-11-24 00:59:32
Directory : d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan
Total : 209 files,  19151 codes, 1565 comments, 1822 blanks, all 22538 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\ConfirmablePasswordController.php                             | PHP        |         29 |          6 |          7 |         42 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\EmailVerificationNotificationController.php                   | PHP        |         17 |          3 |          6 |         26 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\EmailVerificationPromptController.php                         | PHP        |         16 |          3 |          4 |         23 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\NewPasswordController.php                                     | PHP        |         40 |         14 |          8 |         62 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\PasswordController.php                                        | PHP        |         21 |          3 |          6 |         30 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\PasswordResetLinkController.php                               | PHP        |         27 |         11 |          7 |         45 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\RegisteredUserController.php                                  | PHP        |         39 |          8 |         10 |         57 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Auth\VerifyEmailController.php                                     | PHP        |         20 |          3 |          6 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\CartController.php                                                 | PHP        |         44 |          1 |         12 |         57 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\CategoryController.php                                             | PHP        |         49 |          0 |         13 |         62 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\ChatController.php                                                 | PHP        |        127 |          6 |         30 |        163 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\ConsultationController.php                                         | PHP        |         35 |          0 |         12 |         47 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\Controller.php                                                     | PHP        |          9 |          0 |          4 |         13 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\OrderController.php                                                | PHP        |         94 |          8 |         34 |        136 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\OrderProductController.php                                         | PHP        |          6 |          1 |          4 |         11 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\PaymentController.php                                              | PHP        |        106 |          6 |         29 |        141 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\ProductController.php                                              | PHP        |        215 |          5 |         48 |        268 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\ProductReviewController.php                                        | PHP        |         27 |          0 |          7 |         34 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\ProfileController.php                                              | PHP        |         38 |          9 |         14 |         61 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\RatingController.php                                               | PHP        |         28 |          0 |          9 |         37 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\RoleController.php                                                 | PHP        |          6 |          1 |          4 |         11 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\TypeController.php                                                 | PHP        |         49 |          0 |         13 |         62 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Controllers\UserController.php                                                 | PHP        |         41 |          0 |         14 |         55 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Kernel.php                                                                     | PHP        |         42 |         21 |          7 |         70 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\AdminDashboard.php                                                  | PHP        |         17 |          5 |          6 |         28 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\Authenticate.php                                                    | PHP        |         11 |          3 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\EncryptCookies.php                                                  | PHP        |          8 |          6 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\PreventRequestsDuringMaintenance.php                                | PHP        |          8 |          6 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\RedirectIfAuthenticated.php                                         | PHP        |         20 |          5 |          6 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\TrimStrings.php                                                     | PHP        |         11 |          5 |          4 |         20 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\TrustHosts.php                                                      | PHP        |         12 |          5 |          4 |         21 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\TrustProxies.php                                                    | PHP        |         14 |         10 |          5 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\ValidateSignature.php                                               | PHP        |          8 |         11 |          4 |         23 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Middleware\VerifyCsrfToken.php                                                 | PHP        |          8 |          6 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Requests\Auth\LoginRequest.php                                                 | PHP        |         51 |         21 |         14 |         86 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Http\Requests\ProfileUpdateRequest.php                                              | PHP        |         15 |          5 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Cart.php                                                                     | PHP        |         22 |          0 |          7 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Category.php                                                                 | PHP        |         16 |          0 |          6 |         22 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Chat.php                                                                     | PHP        |         27 |          0 |          7 |         34 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Consultation.php                                                             | PHP        |         17 |          0 |          6 |         23 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Order.php                                                                    | PHP        |         26 |          0 |          8 |         34 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\OrderProduct.php                                                             | PHP        |         22 |          0 |          7 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Payment.php                                                                  | PHP        |         16 |          0 |          5 |         21 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Product.php                                                                  | PHP        |         46 |          0 |         13 |         59 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\ProductReview.php                                                            | PHP        |         22 |          0 |          8 |         30 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Rating.php                                                                   | PHP        |         22 |          0 |          7 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Role.php                                                                     | PHP        |         16 |          0 |          6 |         22 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Type.php                                                                     | PHP        |         16 |          0 |          7 |         23 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\User.php                                                                     | PHP        |         61 |         16 |         15 |         92 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\AppServiceProvider.php                                                    | PHP        |         12 |          8 |          5 |         25 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\AuthServiceProvider.php                                                   | PHP        |         11 |         11 |          5 |         27 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\BroadcastServiceProvider.php                                              | PHP        |         12 |          3 |          5 |         20 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\EventServiceProvider.php                                                  | PHP        |         21 |         12 |          6 |         39 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\RouteServiceProvider.php                                                  | PHP        |         24 |         10 |          7 |         41 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\View\Components\AppLayout.php                                                       | PHP        |         11 |          3 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\View\Components\GuestLayout.php                                                     | PHP        |         11 |          3 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\bootstrap\app.php                                                                       | PHP        |         17 |         30 |          9 |         56 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\composer.json                                                                           | JSON       |         69 |          0 |          1 |         70 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\composer.lock                                                                           | JSON       |      8,399 |          0 |          1 |      8,400 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\app.php                                                                          | PHP        |         28 |        130 |         31 |        189 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\auth.php                                                                         | PHP        |         28 |         74 |         14 |        116 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\broadcasting.php                                                                 | PHP        |         36 |         23 |         13 |         72 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\cache.php                                                                        | PHP        |         59 |         34 |         19 |        112 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\cors.php                                                                         | PHP        |          3 |         29 |          3 |         35 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\database.php                                                                     | PHP        |         83 |         47 |         22 |        152 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\filesystems.php                                                                  | PHP        |         32 |         32 |         13 |         77 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\hashing.php                                                                      | PHP        |         12 |         32 |          9 |         53 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\logging.php                                                                      | PHP        |         79 |         34 |         19 |        132 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\mail.php                                                                         | PHP        |         54 |         53 |         19 |        126 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\queue.php                                                                        | PHP        |         51 |         42 |         17 |        110 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\sanctum.php                                                                      | PHP        |         15 |         41 |         12 |         68 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\services.php                                                                     | PHP        |         17 |         11 |          7 |         35 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\session.php                                                                      | PHP        |         22 |        147 |         33 |        202 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\view.php                                                                         | PHP        |         10 |         20 |          7 |         37 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\CartFactory.php                                                      | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\CategoryFactory.php                                                  | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ChatFactory.php                                                      | PHP        |         19 |          8 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ConsultationFactory.php                                              | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\OrderFactory.php                                                     | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\OrderProductFactory.php                                              | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\PaymentFactory.php                                                   | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ProductFactory.php                                                   | PHP        |         21 |          8 |          4 |         33 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ProductReviewFactory.php                                             | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\RatingFactory.php                                                    | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\TypeFactory.php                                                      | PHP        |         11 |          9 |          4 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\UserFactory.php                                                      | PHP        |         27 |         11 |          5 |         43 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2014_10_12_000000_create_users_table.php                            | PHP        |         26 |          6 |          4 |         36 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php            | PHP        |         19 |          6 |          4 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2019_08_19_000000_create_failed_jobs_table.php                      | PHP        |         23 |          6 |          4 |         33 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php           | PHP        |         24 |          6 |          4 |         34 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_10_30_184929_create_roles_table.php                            | PHP        |         19 |          6 |          4 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_10_30_185613_create_chats_table.php                            | PHP        |         26 |          6 |          4 |         36 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_04_160223_add_role_id_column_to_users_table.php             | PHP        |         19 |          7 |          4 |         30 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_08_215742_create_consultations_table.php                    | PHP        |         20 |          6 |          4 |         30 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_08_223633_create_payments_table.php                         | PHP        |         25 |          6 |          4 |         35 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_151855_create_products_table.php                         | PHP        |         26 |          6 |          4 |         36 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_151933_create_types_table.php                            | PHP        |         19 |          6 |          4 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_151938_create_categories_table.php                       | PHP        |         19 |          6 |          4 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_184440_add_category_id_and_type_id_to_products_table.php | PHP        |         21 |          6 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_184543_create_product_reviews_table.php                  | PHP        |         21 |          6 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_12_064111_create_carts_table.php                            | PHP        |         21 |          6 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_17_065816_create_ratings_table.php                          | PHP        |         21 |          6 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_17_065903_create_orders_table.php                           | PHP        |         26 |          6 |          4 |         36 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_20_191608_delete_product_id_column_in_orders_table.php      | PHP        |         20 |          7 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_20_191800_create_order_products_table.php                   | PHP        |         21 |          6 |          4 |         31 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_20_193041_drop_quantity_column_in_orders_table.php          | PHP        |         19 |          6 |          4 |         29 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\CartSeeder.php                                                         | PHP        |         10 |          4 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\CategorySeeder.php                                                     | PHP        |         25 |          3 |          5 |         33 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ChatSeeder.php                                                         | PHP        |        101 |          3 |         24 |        128 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ConsultationSeeder.php                                                 | PHP        |         19 |          3 |          5 |         27 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\DatabaseSeeder.php                                                     | PHP        |         19 |          9 |          6 |         34 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\OrderProductSeeder.php                                                 | PHP        |         10 |          4 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\OrderSeeder.php                                                        | PHP        |         10 |          4 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\PaymentSeeder.php                                                      | PHP        |         10 |          4 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ProductReviewSeeder.php                                                | PHP        |         31 |          3 |          5 |         39 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\ProductSeeder.php                                                      | PHP        |         12 |          4 |          4 |         20 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\RatingSeeder.php                                                       | PHP        |         10 |          4 |          4 |         18 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\RoleSeeder.php                                                         | PHP        |         25 |          3 |          5 |         33 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\TypeSeeder.php                                                         | PHP        |         25 |          3 |          5 |         33 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\seeders\UserSeeder.php                                                         | PHP        |         39 |          3 |          7 |         49 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\package-lock.json                                                                       | JSON       |      2,930 |          0 |          1 |      2,931 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\package.json                                                                            | JSON       |         23 |          0 |          1 |         24 |
| d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\phpunit.xml                                                                             | XML        |         29 |          2 |          1 |         32 |
